ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
EC8895,4,goniata,6.456805293,4.142438563,4.1536862,2.766257089,0.424763705,Jaco Scar,9.117567,-84.8407183,37,4989,34.63050488,2.616485366,102.7169,1780.791171,3.179486098,Tubeworm,0.11,-0.31745032,503
EC8895,5,goniata,7.664933837,4.846408318,4.60557656,3.306805293,0.531781664,Jaco Scar,9.117567,-84.8407183,37,4989,34.63050488,2.616485366,102.7169,1780.791171,3.179486098,Tubeworm,0.23,-0.31745032,503
EC9322,1,goniata,6.799362004,4.177173913,4.416020794,2.463232514,0.610928639,Jaco Scar,9.117775,-84.839525,20,214,34.62738983,2.626571186,101.59731,1802.97539,3.18,NA,0.29,-0.06328516,503
EC9322,2,goniata,6.908695652,4.191398866,4.283364839,2.771550095,0.656580813,Jaco Scar,9.117775,-84.839525,20,214,34.62738983,2.626571186,101.59731,1802.97539,3.18,NA,0.42,-0.06328516,503
EC9322,3,goniata,5.598180529,3.803024575,3.560869565,2.508223062,0.355623819,Jaco Scar,9.117775,-84.839525,20,214,34.62738983,2.626571186,101.59731,1802.97539,3.18,NA,0.25,-0.06328516,503
EC9322,4,goniata,7.840430057,4.814319471,4.768336484,3.066635161,0.682301512,Jaco Scar,9.117775,-84.839525,20,214,34.62738983,2.626571186,101.59731,1802.97539,3.18,NA,0.21,-0.06328516,503
EC9322,5,goniata,10.37842628,5.747542533,5.985727788,4.020699433,0.957041588,Jaco Scar,9.117775,-84.839525,20,214,34.62738983,2.626571186,101.59731,1802.97539,3.18,NA,0.2,-0.06328516,503
EC9325,1,goniata,6.574905482,3.82452741,3.890028355,2.638232514,0.698842155,Jaco Scar,9.11741,-84.839632,10,214,34.61129661,2.655279661,102.3049,1812.61622,3.18,Mussel,0.37,0.070554881,503
EC9325,2,goniata,6.838728733,3.470888469,3.443431002,2.217769376,0.570321361,Jaco Scar,9.11741,-84.839632,10,214,34.61129661,2.655279661,102.3049,1812.61622,3.18,Mussel,0.08,0.070554881,503
EC9325,3,goniata,8.585586011,5.028355388,5.246361059,3.606190926,0.500189036,Jaco Scar,9.11741,-84.839632,10,214,34.61129661,2.655279661,102.3049,1812.61622,3.18,Mussel,0.2,0.070554881,503
EC9325,4,goniata,7.715217391,5.215595463,5.650283554,3.678969754,0.428071834,Jaco Scar,9.11741,-84.839632,10,214,34.61129661,2.655279661,102.3049,1812.61622,3.18,Mussel,0.27,0.070554881,503
EC9325,5,goniata,7.279867675,4.198676749,4.403449905,2.928024575,0.382336957,Jaco Scar,9.11741,-84.839632,10,214,34.61129661,2.655279661,102.3049,1812.61622,3.18,Mussel,0.39,0.070554881,503
EC9350,1,goniata,7.341233459,4.279395085,4.409404537,2.983270321,0.834061909,Jaco Scar,9.117779,-84.839517,10,214,34.62549661,2.639471186,101.13595,1802.997339,3.18,Rock,0.28,-0.033758903,503
